side,record_id,language,text,entities,extracted_context,proxies,publication_year,risk_flags,duplicate_terms,unsupported_molecule_count,title_year_disagrees
query,Q212,EN,is Salmeterol safe in COPD with anaemia,"{""disease_entity"": ""COPD"", ""molecule_entity"": ""Salmeterol"", ""drug_class_entity"": ""Long-acting beta2-agonists"", ""therapeutic_area"": ""Pulmonology""}",{},,,,0,0,False
query,Q213,MIXED,prophylaxis Hypertension Amlodipine kapan bisa dihentikan,"{""disease_entity"": ""Hypertension"", ""molecule_entity"": ""Amlodipine"", ""drug_class_entity"": ""Calcium channel blockers"", ""therapeutic_area"": ""Cardiology""}",{},,,,0,0,False
query,Q214,EN,Clozapine hepatic impairment dose in Schizophrenia,"{""disease_entity"": ""Schizophrenia"", ""molecule_entity"": ""Clozapine"", ""drug_class_entity"": ""Atypical antipsychotics"", ""therapeutic_area"": ""Psychiatry""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q215,EN,Ferrous sulphate drug interaction with Erythropoietin in Iron Deficiency Anaemia,"{""disease_entity"": ""Iron Deficiency Anaemia"", ""molecule_entity"": ""Ferrous sulphate; Erythropoietin"", ""drug_class_entity"": ""Iron preparations; Erythropoiesis stimulating agents"", ""therapeutic_area"": ""Haematology""}",{},,,,0,0,False
query,Q216,EN,Hyperthyroidism guideline update 2024 summary,"{""disease_entity"": ""Hyperthyroidism"", ""molecule_entity"": ""Levothyroxine"", ""drug_class_entity"": ""Thyroid hormones"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2024, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q217,ID,algoritma terapi Heart Failure step up,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Furosemide"", ""drug_class_entity"": ""Loop diuretics"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False
query,Q218,ID,kapan mulai terapi Methimazole pada Hyperthyroidism,"{""disease_entity"": ""Hyperthyroidism"", ""molecule_entity"": ""Methimazole"", ""drug_class_entity"": ""Antithyroid agents"", ""therapeutic_area"": ""Endocrinology""}",{},,,,0,0,False
query,Q219,MIXED,Diabetes Insipidus dengan diabetes pilihan drug terbaik,"{""disease_entity"": ""Diabetes Insipidus"", ""molecule_entity"": ""Desmopressin"", ""drug_class_entity"": ""Vasopressin analogues"", ""therapeutic_area"": ""Endocrinology""}",{},,,molecule_without_literal_support,0,1,False
query,Q220,MIXED,dosis titrasi Nivolumab Colorectal Cancer toleransi pasien,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Nivolumab"", ""drug_class_entity"": ""PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q221,EN,Chronic Lymphocytic Leukaemia risk stratification approach,"{""disease_entity"": ""Chronic Lymphocytic Leukaemia"", ""molecule_entity"": ""Ibrutinib"", ""drug_class_entity"": ""BTK inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,molecule_without_literal_support,0,1,False
query,Q222,EN,MDR Tuberculosis with heart failure first line drug,"{""disease_entity"": ""MDR Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}",{},,,molecule_without_literal_support,0,1,False
query,Q223,MIXED,Rivaroxaban efficacy pada Community-acquired Pneumonia clinical outcome data,"{""disease_entity"": ""Community-acquired Pneumonia"", ""molecule_entity"": ""Rivaroxaban"", ""drug_class_entity"": ""Factor Xa inhibitors"", ""therapeutic_area"": ""Pulmonology""}",{},,,,0,0,False
query,Q224,EN,Losartan hepatic impairment dose in Hypertension,"{""disease_entity"": ""Hypertension"", ""molecule_entity"": ""Losartan"", ""drug_class_entity"": ""ARBs"", ""therapeutic_area"": ""Cardiology""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q225,MIXED,Psoriasis dengan elderly patients pilihan drug terbaik,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""age_group"": ""elderly""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q226,MIXED,target Gout sudah tercapai kapan maintenance Secukinumab,"{""disease_entity"": ""Gout"", ""molecule_entity"": ""Secukinumab"", ""drug_class_entity"": ""IL-17 inhibitors"", ""therapeutic_area"": ""Rheumatology""}",{},,,,0,0,False
query,Q227,EN,Spironolactone contraindication in Heart Failure with hypertension,"{""disease_entity"": ""Heart Failure"", ""molecule_entity"": ""Spironolactone"", ""drug_class_entity"": ""Aldosterone antagonists"", ""therapeutic_area"": ""Cardiology""}",{},,,,0,0,False
query,Q228,EN,is Aspirin safe in Ischaemic Stroke with diabetes,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Aspirin"", ""drug_class_entity"": ""Platelet aggregation inhibitors"", ""therapeutic_area"": ""Neurology""}",{},,,,0,0,False
query,Q229,EN,Hyperthyroidism treatment algorithm Antithyroid agents first line,"{""disease_entity"": ""Hyperthyroidism"", ""molecule_entity"": ""Methimazole"", ""drug_class_entity"": ""Antithyroid agents"", ""therapeutic_area"": ""Endocrinology""}",{},,,molecule_without_literal_support,0,1,False
query,Q230,EN,Cyclosporine contraindication in Disseminated Intravascular Coagulation with immunocompromised,"{""disease_entity"": ""Disseminated Intravascular Coagulation"", ""molecule_entity"": ""Cyclosporine"", ""drug_class_entity"": ""Calcineurin inhibitors"", ""therapeutic_area"": ""Critical Care""}",{},,,population_or_comorbidity,0,0,False
query,Q231,MIXED,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam; Norepinephrine"", ""drug_class_entity"": ""Beta-lactam combinations; Adrenergic agonists"", ""therapeutic_area"": ""Critical Care""}","{""negation_flag"": true}",,,negation,0,0,False
query,Q232,MIXED,Prednisolone side effect pada pasien Rheumatoid Arthritis apa saja,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Prednisolone"", ""drug_class_entity"": ""Corticosteroids"", ""therapeutic_area"": ""Rheumatology""}",{},,,,0,0,False
query,Q233,MIXED,kontraindikasi Budesonide pada Asthma dengan COPD,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Budesonide"", ""drug_class_entity"": ""Inhaled corticosteroids"", ""therapeutic_area"": ""Pulmonology""}",{},,,,0,0,False
query,Q234,MIXED,PD-1 inhibitors mechanism untuk Non-Small Cell Lung Cancer bagaimana cara kerjanya,"{""disease_entity"": ""Non-Small Cell Lung Cancer"", ""molecule_entity"": ""Pembrolizumab"", ""drug_class_entity"": ""PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,molecule_without_literal_support,0,1,False
query,Q235,ID,Artemether-lumefantrine vs Artemether-lumefantrine untuk Typhoid Fever,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine; Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials; Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}","{""comparison_flag"": true}",,,comparison;duplicate_metadata,2,0,False
query,Q236,EN,biomarkers Chronic Myeloid Leukaemia treatment response Imatinib,"{""disease_entity"": ""Chronic Myeloid Leukaemia"", ""molecule_entity"": ""Imatinib"", ""drug_class_entity"": ""BCR-ABL inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,,0,0,False
query,Q237,MIXED,monitoring BCR-ABL inhibitors pada Chronic Myeloid Leukaemia parameter apa,"{""disease_entity"": ""Chronic Myeloid Leukaemia"", ""molecule_entity"": ""Imatinib"", ""drug_class_entity"": ""BCR-ABL inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,molecule_without_literal_support,0,1,False
query,Q238,EN,Basal insulins in pregnancy and Type 1 Diabetes Mellitus,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Insulin glargine"", ""drug_class_entity"": ""Basal insulins"", ""therapeutic_area"": ""Endocrinology""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q239,MIXED,Ramipril pada pasien elderly Hypertension apa perlu adjustment,"{""disease_entity"": ""Hypertension"", ""molecule_entity"": ""Ramipril"", ""drug_class_entity"": ""ACE inhibitors"", ""therapeutic_area"": ""Cardiology""}","{""age_group"": ""elderly"", ""dose_context_flag"": true}",,,population_or_comorbidity,0,0,False
query,Q240,MIXED,Antituberculotics terbaru untuk Tuberculosis 2024,"{""disease_entity"": ""Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}","{""year"": 2024, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q241,ID,dosis Dupilumab untuk pasien Psoriasis,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Dupilumab"", ""drug_class_entity"": ""IL-4/IL-13 inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q242,ID,penanganan Type 2 Diabetes Mellitus di ICU panduan 2023,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""year"": 2023}",,,molecule_without_literal_support,0,1,False
query,Q243,EN,Mycophenolate mofetil dosing in Rheumatoid Arthritis with diabetes,"{""disease_entity"": ""Rheumatoid Arthritis"", ""molecule_entity"": ""Mycophenolate mofetil"", ""drug_class_entity"": ""Immunosuppressants"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q244,ID,Semaglutide vs Liraglutide untuk Obesity,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide; Liraglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists; GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""comparison_flag"": true}",,,comparison;population_or_comorbidity;duplicate_metadata,1,0,False
query,Q245,ID,kapan mulai terapi Pembrolizumab pada Non-Small Cell Lung Cancer,"{""disease_entity"": ""Non-Small Cell Lung Cancer"", ""molecule_entity"": ""Pembrolizumab"", ""drug_class_entity"": ""PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,,0,0,False
query,Q246,EN,add on therapy Urinary Tract Infection after Tenofovir+Lamivudine failure,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}","{""prior_treatment_failure_flag"": true}",,,,0,0,False
query,Q247,ID,resistensi Aspirin pada Ischaemic Stroke alternatif Alteplase,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Aspirin; Alteplase"", ""drug_class_entity"": ""Platelet aggregation inhibitors; Thrombolytics"", ""therapeutic_area"": ""Neurology""}","{""prior_treatment_failure_flag"": true}",,,,0,0,False
query,Q248,MIXED,Type 1 Diabetes Mellitus first line Basal insulins evidence based,"{""disease_entity"": ""Type 1 Diabetes Mellitus"", ""molecule_entity"": ""Insulin glargine"", ""drug_class_entity"": ""Basal insulins"", ""therapeutic_area"": ""Endocrinology""}",{},,,molecule_without_literal_support,0,1,False
query,Q249,MIXED,Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment,"{""disease_entity"": ""Type 2 Diabetes Mellitus"", ""molecule_entity"": ""Sitagliptin"", ""drug_class_entity"": ""DPP-4 inhibitors"", ""therapeutic_area"": ""Endocrinology""}","{""age_group"": ""elderly"", ""dose_context_flag"": true}",,,population_or_comorbidity,0,0,False
query,Q250,ID,efek samping Vitamin K antagonists pada Atrial Fibrillation,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Warfarin"", ""drug_class_entity"": ""Vitamin K antagonists"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False
query,Q251,EN,Bipolar Disorder risk stratification approach,"{""disease_entity"": ""Bipolar Disorder"", ""molecule_entity"": ""Lithium"", ""drug_class_entity"": ""Mood stabilisers"", ""therapeutic_area"": ""Psychiatry""}",{},,,molecule_without_literal_support,0,1,False
query,Q252,MIXED,latest guideline Major Depressive Disorder management 2022,"{""disease_entity"": ""Major Depressive Disorder"", ""molecule_entity"": ""Sertraline"", ""drug_class_entity"": ""SSRIs"", ""therapeutic_area"": ""Psychiatry""}","{""year"": 2022, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q253,MIXED,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja,"{""disease_entity"": ""Chronic Myeloid Leukaemia"", ""molecule_entity"": ""Imatinib"", ""drug_class_entity"": ""BCR-ABL inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,,0,0,False
query,Q254,EN,NRTIs combination role in Urinary Tract Infection pathophysiology,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q255,MIXED,kontraindikasi Salmeterol pada Asthma dengan immunocompromised,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Salmeterol"", ""drug_class_entity"": ""Long-acting beta2-agonists"", ""therapeutic_area"": ""Pulmonology""}",{},,,population_or_comorbidity,0,0,False
query,Q256,EN,Antituberculotics role in MDR Tuberculosis pathophysiology,"{""disease_entity"": ""MDR Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}",{},,,molecule_without_literal_support,0,1,False
query,Q257,EN,switch from Imatinib to Imatinib in Chronic Myeloid Leukaemia,"{""disease_entity"": ""Chronic Myeloid Leukaemia"", ""molecule_entity"": ""Imatinib; Imatinib"", ""drug_class_entity"": ""BCR-ABL inhibitors; BCR-ABL inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,duplicate_metadata,2,0,False
query,Q258,EN,when to start Alteplase in Ischaemic Stroke,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Alteplase"", ""drug_class_entity"": ""Thrombolytics"", ""therapeutic_area"": ""Neurology""}",{},,,,0,0,False
query,Q259,MIXED,monitoring Atypical antipsychotics pada Schizophrenia parameter apa,"{""disease_entity"": ""Schizophrenia"", ""molecule_entity"": ""Clozapine"", ""drug_class_entity"": ""Atypical antipsychotics"", ""therapeutic_area"": ""Psychiatry""}",{},,,molecule_without_literal_support,0,1,False
query,Q260,ID,terapi profilaksis Schizophrenia dengan Risperidone,"{""disease_entity"": ""Schizophrenia"", ""molecule_entity"": ""Risperidone"", ""drug_class_entity"": ""Atypical antipsychotics"", ""therapeutic_area"": ""Psychiatry""}",{},,,,0,0,False
query,Q261,EN,Penicillins role in HIV/AIDS pathophysiology,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q262,MIXED,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Piperacillin-tazobactam; Meropenem"", ""drug_class_entity"": ""Beta-lactam combinations; Carbapenems"", ""therapeutic_area"": ""Critical Care""}","{""negation_flag"": true}",,,negation,0,0,False
query,Q263,EN,titration protocol Levothyroxine in Hypothyroidism,"{""disease_entity"": ""Hypothyroidism"", ""molecule_entity"": ""Levothyroxine"", ""drug_class_entity"": ""Thyroid hormones"", ""therapeutic_area"": ""Endocrinology""}",{},,,,0,0,False
query,Q264,ID,dosis Levothyroxine untuk pasien Hypothyroidism,"{""disease_entity"": ""Hypothyroidism"", ""molecule_entity"": ""Levothyroxine"", ""drug_class_entity"": ""Thyroid hormones"", ""therapeutic_area"": ""Endocrinology""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q265,EN,renal dose adjustment Allopurinol in Psoriatic Arthritis,"{""disease_entity"": ""Psoriatic Arthritis"", ""molecule_entity"": ""Allopurinol"", ""drug_class_entity"": ""Xanthine oxidase inhibitors"", ""therapeutic_area"": ""Rheumatology""}","{""dose_context_flag"": true, ""renal_function_group"": ""renal_impairment""}",,,population_or_comorbidity,0,0,False
query,Q266,ID,monitoring terapi Artemether-lumefantrine pada Typhoid Fever,"{""disease_entity"": ""Typhoid Fever"", ""molecule_entity"": ""Artemether-lumefantrine"", ""drug_class_entity"": ""Antimalarials"", ""therapeutic_area"": ""Infectious Disease""}",{},,,,0,0,False
query,Q267,MIXED,Adalimumab side effect pada pasien Gout apa saja,"{""disease_entity"": ""Gout"", ""molecule_entity"": ""Adalimumab"", ""drug_class_entity"": ""TNF inhibitors"", ""therapeutic_area"": ""Rheumatology""}",{},,,,0,0,False
query,Q268,EN,Beta blockers non-selective mechanism of action in Hypertension in Pregnancy,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Labetalol"", ""drug_class_entity"": ""Beta blockers non-selective"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q269,MIXED,Sertraline efficacy pada Major Depressive Disorder clinical outcome data,"{""disease_entity"": ""Major Depressive Disorder"", ""molecule_entity"": ""Sertraline"", ""drug_class_entity"": ""SSRIs"", ""therapeutic_area"": ""Psychiatry""}",{},,,,0,0,False
query,Q270,MIXED,Bedaquiline pada pasien elderly MDR Tuberculosis apa perlu adjustment,"{""disease_entity"": ""MDR Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}","{""age_group"": ""elderly"", ""dose_context_flag"": true}",,,population_or_comorbidity,0,0,False
query,Q271,MIXED,switch dari Alteplase ke Aspirin Ischaemic Stroke progresif,"{""disease_entity"": ""Ischaemic Stroke"", ""molecule_entity"": ""Alteplase; Aspirin"", ""drug_class_entity"": ""Thrombolytics; Platelet aggregation inhibitors"", ""therapeutic_area"": ""Neurology""}",{},,,,0,0,False
query,Q272,EN,CNS stimulants role in Breast Cancer HER2-positive pathophysiology,"{""disease_entity"": ""Breast Cancer HER2-positive"", ""molecule_entity"": ""Methylphenidate"", ""drug_class_entity"": ""CNS stimulants"", ""therapeutic_area"": ""Oncology""}",{},,,molecule_without_literal_support,0,1,False
query,Q273,MIXED,Calcium channel blockers terbaru untuk Acute Coronary Syndrome 2025,"{""disease_entity"": ""Acute Coronary Syndrome"", ""molecule_entity"": ""Amlodipine"", ""drug_class_entity"": ""Calcium channel blockers"", ""therapeutic_area"": ""Cardiology""}","{""year"": 2025, ""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q274,ID,resistensi Alendronate pada Osteoporosis alternatif Alendronate,"{""disease_entity"": ""Osteoporosis"", ""molecule_entity"": ""Alendronate; Alendronate"", ""drug_class_entity"": ""Bisphosphonates; Bisphosphonates"", ""therapeutic_area"": ""Rheumatology""}","{""prior_treatment_failure_flag"": true}",,,duplicate_metadata,2,0,False
query,Q275,ID,obat MDR Tuberculosis lini pertama Antituberculotics,"{""disease_entity"": ""MDR Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}",{},,,molecule_without_literal_support,0,1,False
query,Q276,EN,monitoring parameters Atorvastatin in Acute Coronary Syndrome,"{""disease_entity"": ""Acute Coronary Syndrome"", ""molecule_entity"": ""Atorvastatin"", ""drug_class_entity"": ""Statins"", ""therapeutic_area"": ""Cardiology""}",{},,,,0,0,False
query,Q277,EN,Amoxicillin hepatic impairment dose in HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q278,MIXED,add on Furosemide setelah Furosemide gagal Nephrotic Syndrome,"{""disease_entity"": ""Nephrotic Syndrome"", ""molecule_entity"": ""Furosemide; Furosemide"", ""drug_class_entity"": ""Loop diuretics; Loop diuretics"", ""therapeutic_area"": ""Nephrology""}","{""prior_treatment_failure_flag"": true}",,,duplicate_metadata,2,0,False
query,Q279,MIXED,prophylaxis MDR Tuberculosis Bedaquiline kapan bisa dihentikan,"{""disease_entity"": ""MDR Tuberculosis"", ""molecule_entity"": ""Bedaquiline"", ""drug_class_entity"": ""Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}",{},,,,0,0,False
query,Q280,ID,algoritma terapi Malaria step up,"{""disease_entity"": ""Malaria"", ""molecule_entity"": ""Tenofovir disoproxil"", ""drug_class_entity"": ""NRTIs"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q281,EN,NRTIs combination mechanism of action in Urinary Tract Infection,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q282,ID,Vasopressin analogues kontraindikasi pada Diabetes Insipidus dengan hypertension,"{""disease_entity"": ""Diabetes Insipidus"", ""molecule_entity"": ""Desmopressin"", ""drug_class_entity"": ""Vasopressin analogues"", ""therapeutic_area"": ""Endocrinology""}",{},,,molecule_without_literal_support,0,1,False
query,Q283,MIXED,monitoring Centrally acting antihypertensives pada Hypertension in Pregnancy parameter apa,"{""disease_entity"": ""Hypertension in Pregnancy"", ""molecule_entity"": ""Methyldopa"", ""drug_class_entity"": ""Centrally acting antihypertensives"", ""therapeutic_area"": ""Obstetrics""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False
query,Q284,EN,Proton pump inhibitors adverse effects monitoring in Peptic Ulcer Disease,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Omeprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""therapeutic_area"": ""Gastroenterology""}",{},,,molecule_without_literal_support,0,1,False
query,Q285,EN,Olanzapine vs Lithium in Bipolar Disorder patients,"{""disease_entity"": ""Bipolar Disorder"", ""molecule_entity"": ""Olanzapine; Lithium"", ""drug_class_entity"": ""Atypical antipsychotics; Mood stabilisers"", ""therapeutic_area"": ""Psychiatry""}","{""comparison_flag"": true}",,,comparison,0,0,False
query,Q286,MIXED,prophylaxis Urinary Tract Infection Tenofovir+Lamivudine kapan bisa dihentikan,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,,0,0,False
query,Q287,ID,panduan klinis Epilepsy terbaru,"{""disease_entity"": ""Epilepsy"", ""molecule_entity"": ""Topiramate"", ""drug_class_entity"": ""Antiepileptics other"", ""therapeutic_area"": ""Neurology""}","{""recency_flag"": true}",,,molecule_without_literal_support,0,1,False
query,Q288,ID,apakah Trastuzumab aman untuk Non-Small Cell Lung Cancer dengan hypertension,"{""disease_entity"": ""Non-Small Cell Lung Cancer"", ""molecule_entity"": ""Trastuzumab"", ""drug_class_entity"": ""HER2-targeted agents"", ""therapeutic_area"": ""Oncology""}",{},,,,0,0,False
query,Q289,ID,Apixaban pada ibu hamil dengan Deep Vein Thrombosis,"{""disease_entity"": ""Deep Vein Thrombosis"", ""molecule_entity"": ""Apixaban"", ""drug_class_entity"": ""Factor Xa inhibitors"", ""therapeutic_area"": ""Haematology""}","{""pregnancy_status"": ""pregnant""}",,,population_or_comorbidity,0,0,False
query,Q290,MIXED,monitoring NRTIs combination pada Urinary Tract Infection parameter apa,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,molecule_without_literal_support,0,1,False
query,Q291,ID,Peptic Ulcer Disease dengan hypertension pilihan terapi,"{""disease_entity"": ""Peptic Ulcer Disease"", ""molecule_entity"": ""Lansoprazole"", ""drug_class_entity"": ""Proton pump inhibitors"", ""therapeutic_area"": ""Gastroenterology""}",{},,,molecule_without_literal_support,0,1,False
query,Q292,EN,Amoxicillin vs Amoxicillin efficacy in HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin; Amoxicillin"", ""drug_class_entity"": ""Penicillins; Penicillins"", ""therapeutic_area"": ""Infectious Disease""}","{""comparison_flag"": true}",,,comparison;duplicate_metadata,2,0,False
query,Q293,ID,resistensi Prednisolone pada Asthma alternatif Azithromycin,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Prednisolone; Azithromycin"", ""drug_class_entity"": ""Corticosteroids; Macrolides"", ""therapeutic_area"": ""Pulmonology""}","{""prior_treatment_failure_flag"": true}",,,,0,0,False
query,Q294,MIXED,dosis titrasi Levothyroxine Hyperthyroidism toleransi pasien,"{""disease_entity"": ""Hyperthyroidism"", ""molecule_entity"": ""Levothyroxine"", ""drug_class_entity"": ""Thyroid hormones"", ""therapeutic_area"": ""Endocrinology""}","{""dose_context_flag"": true}",,,,0,0,False
query,Q295,EN,switch from Sertraline to Venlafaxine in Major Depressive Disorder,"{""disease_entity"": ""Major Depressive Disorder"", ""molecule_entity"": ""Sertraline; Venlafaxine"", ""drug_class_entity"": ""SSRIs; SNRIs"", ""therapeutic_area"": ""Psychiatry""}",{},,,,0,0,False
query,Q296,ID,resistensi Bedaquiline pada Tuberculosis alternatif Rifampicin,"{""disease_entity"": ""Tuberculosis"", ""molecule_entity"": ""Bedaquiline; Rifampicin"", ""drug_class_entity"": ""Antituberculotics; Antituberculotics"", ""therapeutic_area"": ""Pulmonology""}","{""prior_treatment_failure_flag"": true}",,,duplicate_metadata,1,0,False
query,Q297,EN,Colorectal Cancer with COPD first line drug,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Pembrolizumab"", ""drug_class_entity"": ""PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,molecule_without_literal_support,0,1,False
query,Q298,ID,penggantian Apixaban ke Rivaroxaban pada Deep Vein Thrombosis,"{""disease_entity"": ""Deep Vein Thrombosis"", ""molecule_entity"": ""Apixaban; Rivaroxaban"", ""drug_class_entity"": ""Factor Xa inhibitors; Factor Xa inhibitors"", ""therapeutic_area"": ""Haematology""}",{},,,duplicate_metadata,1,0,False
query,Q299,EN,Zinc hepatic impairment dose in Stunting / Malnutrition,"{""disease_entity"": ""Stunting / Malnutrition"", ""molecule_entity"": ""Zinc"", ""drug_class_entity"": ""Zinc supplements"", ""therapeutic_area"": ""Pediatrics""}","{""dose_context_flag"": true, ""hepatic_impairment_flag"": true}",,,,0,0,False
query,Q300,MIXED,dosis Apixaban pada Community-acquired Pneumonia pasien CKD aman tidak,"{""disease_entity"": ""Community-acquired Pneumonia"", ""molecule_entity"": ""Apixaban"", ""drug_class_entity"": ""Factor Xa inhibitors"", ""therapeutic_area"": ""Pulmonology""}","{""dose_context_flag"": true, ""negation_flag"": true}",,,negation,0,0,False
query,Q301,EN,monitoring parameters Topiramate in Epilepsy,"{""disease_entity"": ""Epilepsy"", ""molecule_entity"": ""Topiramate"", ""drug_class_entity"": ""Antiepileptics other"", ""therapeutic_area"": ""Neurology""}",{},,,,0,0,False
