side,record_id,sample_group,selection_reason,language,text,entities,extracted_context,proxies,publication_year,risk_flags,duplicate_terms,unsupported_molecule_count,title_year_disagrees,findings,evidence_excerpt,review_notes,reviewer,review_type
query,Q011,targeted_risk,route,MIXED,Psoriasis dengan renal impairment penyesuaian dosis Tacrolimus topical,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""dose_context_flag"": true, ""route"": ""topical"", ""renal_function_group"": ""renal_impairment""}",,,route;population_or_comorbidity,0,0,False,supported_extraction;context_from_entity_name,renal impairment penyesuaian dosis Tacrolimus topical,Renal/dosing context supported. Topical comes from the molecule formulation name; retain that provenance.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q001,targeted_risk,population_or_comorbidity,EN,is Diazepam safe in Febrile Seizure with immunocompromised,"{""disease_entity"": ""Febrile Seizure"", ""molecule_entity"": ""Diazepam"", ""drug_class_entity"": ""Benzodiazepines"", ""therapeutic_area"": ""Pediatrics""}",{},,,population_or_comorbidity,0,0,False,missing_population,with immunocompromised,Drug/disease explicit. Immunocompromised population is omitted because no such slot exists.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q003,targeted_risk,duplicate_metadata,ID,interaksi obat Nivolumab dan Nivolumab pada Colorectal Cancer,"{""disease_entity"": ""Colorectal Cancer"", ""molecule_entity"": ""Nivolumab; Nivolumab"", ""drug_class_entity"": ""PD-1 inhibitors; PD-1 inhibitors"", ""therapeutic_area"": ""Oncology""}",{},,,duplicate_metadata,2,0,False,self_relation;duplicate_metadata,Nivolumab dan Nivolumab,Two interaction arguments repeat the same molecule. Interaction relation is not stored; no clinical validity conclusion is made.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q002,targeted_risk,molecule_without_literal_support,EN,SGLT2 inhibitors adverse effects monitoring in Atrial Fibrillation,"{""disease_entity"": ""Atrial Fibrillation"", ""molecule_entity"": ""Dapagliflozin"", ""drug_class_entity"": ""SGLT2 inhibitors"", ""therapeutic_area"": ""Cardiology""}",{},,,molecule_without_literal_support,0,1,False,metadata_only_molecule,SGLT2 inhibitors,"Dapagliflozin is not explicitly requested; class and disease are literal. Monitoring is an intent cue, not necessarily a new context slot.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q033,targeted_risk,negation,MIXED,dosis Semaglutide pada Obesity pasien hypertension aman tidak,"{""disease_entity"": ""Obesity"", ""molecule_entity"": ""Semaglutide"", ""drug_class_entity"": ""GLP-1 receptor agonists"", ""therapeutic_area"": ""Endocrinology""}","{""dose_context_flag"": true, ""negation_flag"": true}",,,negation;population_or_comorbidity,0,0,False,negation_scope_error;missing_comorbidity,pasien hypertension aman tidak,"Hypertension is an additional population constraint missing from disease metadata (Obesity only). Tidak is interrogative safety wording, not a negated disease.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q071,targeted_risk,comparison,EN,Vancomycin vs Piperacillin-tazobactam in Sepsis patients,"{""disease_entity"": ""Sepsis"", ""molecule_entity"": ""Vancomycin; Piperacillin-tazobactam"", ""drug_class_entity"": ""Glycopeptides; Beta-lactam combinations"", ""therapeutic_area"": ""Critical Care""}","{""comparison_flag"": true}",,,comparison,0,0,False,supported_extraction;unlinked_entities,Vancomycin vs Piperacillin-tazobactam,Two distinct named drugs and comparison cue are supported. Need role/coverage representation to require both comparators.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q394,targeted_risk,route,EN,Topical calcineurin inhibitors adverse effects monitoring in Psoriasis,"{""disease_entity"": ""Psoriasis"", ""molecule_entity"": ""Tacrolimus topical"", ""drug_class_entity"": ""Topical calcineurin inhibitors"", ""therapeutic_area"": ""Dermatology""}","{""route"": ""topical""}",,,molecule_without_literal_support;route,0,1,False,metadata_only_molecule;context_from_entity_name,Topical calcineurin inhibitors,Topical route derives from class wording. Tacrolimus topical is not explicitly named.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q005,targeted_risk,population_or_comorbidity,EN,Penicillins in pregnancy and HIV/AIDS,"{""disease_entity"": ""HIV/AIDS"", ""molecule_entity"": ""Amoxicillin"", ""drug_class_entity"": ""Penicillins"", ""therapeutic_area"": ""Infectious Disease""}","{""pregnancy_status"": ""pregnant""}",,,molecule_without_literal_support;population_or_comorbidity,0,1,False,metadata_only_molecule,Penicillins in pregnancy,"Pregnancy/class/disease supported. Amoxicillin is metadata-only, not an explicit query constraint.",LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q009,targeted_risk,duplicate_metadata,EN,Tenofovir+Lamivudine drug interaction with Tenofovir+Lamivudine in Urinary Tract Infection,"{""disease_entity"": ""Urinary Tract Infection"", ""molecule_entity"": ""Tenofovir+Lamivudine; Tenofovir+Lamivudine"", ""drug_class_entity"": ""NRTIs combination; NRTIs combination"", ""therapeutic_area"": ""Infectious Disease""}",{},,,duplicate_metadata,2,0,False,self_relation;duplicate_metadata,Tenofovir+Lamivudine ... with Tenofovir+Lamivudine,The same combination product is repeated in two interaction roles. Product ingredients and comparator roles should not be conflated.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
query,Q008,targeted_risk,molecule_without_literal_support,EN,Short-acting beta2-agonists adverse effects monitoring in Asthma,"{""disease_entity"": ""Asthma"", ""molecule_entity"": ""Salbutamol"", ""drug_class_entity"": ""Short-acting beta2-agonists"", ""therapeutic_area"": ""Pulmonology""}",{},,,molecule_without_literal_support,0,1,False,metadata_only_molecule,Short-acting beta2-agonists,Class explicit; Salbutamol is supplied metadata without a literal mention.,LLM-assisted review,text/metadata semantic review; not clinician adjudication
