intent_name,review_rank,review_type,query_id,query_text,prototype_top_intent,prototype_margin,matched_weak_anchor_rules,liang_probability,liang_probability_margin,clinical_coherence,boundary_explainable,review_decision,review_notes,reviewer_scope
Treatment Change / Escalation,4,representative,Q167,penggantian Omeprazole ke Lansoprazole pada Peptic Ulcer Disease,Pharmacotherapy,0.0081,Treatment Change / Escalation,0.9904,0.9855,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,5,representative,Q341,switch from Clopidogrel to Rosuvastatin in Stable Angina,Management / Treatment,0.0177,Treatment Change / Escalation,0.9864,0.9797,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,6,representative,Q209,switch from Tenofovir+Lamivudine to Tenofovir+Lamivudine in Urinary Tract Infection,Management / Treatment,0.0177,Treatment Change / Escalation,0.9864,0.9797,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,7,boundary_or_low_margin,Q042,switch from Piperacillin-tazobactam to Norepinephrine in Sepsis,Management / Treatment,0.0177,Treatment Change / Escalation,0.9864,0.9797,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,8,boundary_or_low_margin,Q045,switch from Diazepam to Diazepam in Febrile Seizure,Management / Treatment,0.0177,Treatment Change / Escalation,0.9864,0.9797,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,9,boundary_or_low_margin,Q257,switch from Imatinib to Imatinib in Chronic Myeloid Leukaemia,Management / Treatment,0.0177,Treatment Change / Escalation,0.9864,0.9797,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Treatment Change / Escalation,10,boundary_or_low_margin,Q295,switch from Sertraline to Venlafaxine in Major Depressive Disorder,Management / Treatment,0.0177,Treatment Change / Escalation,0.9864,0.9797,coherent,yes,supports proposed class,"Primary request matches: switch/penggantian, add-on, failure/gagal, resistance, alternative after progression.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,1,representative,Q459,prophylaxis Gout Adalimumab kapan bisa dihentikan,Epidemiology / Prognosis,0.022,Prophylaxis / Maintenance,0.9811,0.9742,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,2,representative,Q072,prophylaxis Typhoid Fever Artemether-lumefantrine kapan bisa dihentikan,Epidemiology / Prognosis,0.022,Prophylaxis / Maintenance,0.9811,0.9742,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,3,representative,Q443,prophylaxis Schizophrenia Risperidone kapan bisa dihentikan,Epidemiology / Prognosis,0.022,Prophylaxis / Maintenance,0.9811,0.9742,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,4,representative,Q100,prophylaxis Ischaemic Stroke Alteplase kapan bisa dihentikan,Epidemiology / Prognosis,0.022,Prophylaxis / Maintenance,0.9811,0.9742,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,5,representative,Q423,prophylaxis Hypertension in Pregnancy Methyldopa kapan bisa dihentikan,Epidemiology / Prognosis,0.022,Prophylaxis / Maintenance,0.9811,0.9742,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,6,representative,Q408,prophylaxis COPD Salmeterol kapan bisa dihentikan,Epidemiology / Prognosis,0.022,Prophylaxis / Maintenance,0.9811,0.9742,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,7,boundary_or_low_margin,Q015,Peptic Ulcer Disease prophylaxis Lansoprazole indication,Diagnosis / Differential Diagnosis,0.0696,Prophylaxis / Maintenance; Management / Treatment Selection,0.9819,0.9762,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,8,boundary_or_low_margin,Q134,Non-Small Cell Lung Cancer prophylaxis Pembrolizumab indication,Diagnosis / Differential Diagnosis,0.0696,Prophylaxis / Maintenance; Management / Treatment Selection,0.9819,0.9762,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,9,boundary_or_low_margin,Q171,Hyperthyroidism prophylaxis Methimazole indication,Diagnosis / Differential Diagnosis,0.0696,Prophylaxis / Maintenance; Management / Treatment Selection,0.9819,0.9762,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Prophylaxis / Maintenance,10,boundary_or_low_margin,Q194,Chronic Kidney Disease prophylaxis Losartan indication,Diagnosis / Differential Diagnosis,0.0696,Prophylaxis / Maintenance; Management / Treatment Selection,0.9819,0.9762,coherent,yes,supports proposed class,"Primary request matches: prophylaxis/profilaksis, prevention, when to stop prophylaxis, target attained/maintenance.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,1,representative,Q474,Antituberculotics mechanism untuk Tuberculosis bagaimana cara kerjanya,Pharmacotherapy,0.1897,Mechanism / Background Knowledge,0.9617,0.9523,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,2,representative,Q234,PD-1 inhibitors mechanism untuk Non-Small Cell Lung Cancer bagaimana cara kerjanya,Pharmacotherapy,0.1897,Mechanism / Background Knowledge,0.9617,0.9523,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,3,representative,Q049,Calcium channel blockers mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,Pharmacotherapy,0.1897,Mechanism / Background Knowledge,0.9617,0.9523,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,4,representative,Q137,ARBs mechanism untuk Heart Failure bagaimana cara kerjanya,Pharmacotherapy,0.1897,Mechanism / Background Knowledge,0.9617,0.9523,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,5,representative,Q472,ARBs mechanism untuk Hypertension bagaimana cara kerjanya,Pharmacotherapy,0.1897,Mechanism / Background Knowledge,0.9617,0.9523,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,6,representative,Q204,Iron preparations mechanism untuk Iron Deficiency Anaemia bagaimana cara kerjanya,Pharmacotherapy,0.1897,Mechanism / Background Knowledge,0.9617,0.9523,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,7,boundary_or_low_margin,Q058,Thrombolytics role in Ischaemic Stroke pathophysiology,Pharmacotherapy,0.1183,Mechanism / Background Knowledge,0.9631,0.9538,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,8,boundary_or_low_margin,Q074,Zinc supplements role in Stunting / Malnutrition pathophysiology,Pharmacotherapy,0.1183,Mechanism / Background Knowledge,0.9631,0.9538,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,9,boundary_or_low_margin,Q140,Beta blockers selective role in Stable Angina pathophysiology,Pharmacotherapy,0.1183,Mechanism / Background Knowledge,0.9631,0.9538,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
Mechanism / Background Knowledge,10,boundary_or_low_margin,Q166,SGLT2 inhibitors role in Chronic Kidney Disease pathophysiology,Pharmacotherapy,0.1183,Mechanism / Background Knowledge,0.9631,0.9538,coherent,yes,supports proposed class,"Primary request matches: mechanism/cara kerjanya, mechanism of action, pathophysiology.",single-analyst taxonomy review; not independent clinician gold annotation
