query_id,query_text,liang_final_intent,rule_intent_signal,prototype_intent_signal,cluster_intent_signal,signal_plurality_intent,signal_agreement,schema_adjudicated_intent,matched_annotation_rules,n_rule_matches,label_confidence,annotation_notes,rule_matches_final,prototype_matches_final,cluster_matches_final,passes_agree,review_design
Q132,Methotrexate dosing in Systemic Lupus Erythematosus with heart failure,Treatment Change / Escalation,Dosing / Administration,Dosing / Administration,Safety / Contraindication,Dosing / Administration,two_signal_including_rule,Dosing / Administration,Dosing / Administration,1,medium,requested regimen or adjustment determines the primary information need Three-signal status: two_signal_including_rule (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Safety / Contraindication). Phase 2 suggestion 'Treatment Change / Escalation' was not retained because the explicit request maps to 'Dosing / Administration'.,True,True,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q133,Omeprazole contraindication in Peptic Ulcer Disease with hypertension,Dosing / Administration,Safety / Contraindication,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration). Phase 2 suggestion 'Dosing / Administration' was not retained because the explicit request maps to 'Safety / Contraindication'.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q134,Non-Small Cell Lung Cancer prophylaxis Pembrolizumab indication,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,two_signal_including_rule,Prophylaxis / Maintenance,Prophylaxis / Maintenance; Management / Treatment Selection,2,medium,prevention or maintenance framing overrides generic indication Three-signal status: two_signal_including_rule (rule=Prophylaxis / Maintenance; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q136,add on therapy Hypertension in Pregnancy after Methyldopa failure,Treatment Change / Escalation,Treatment Change / Escalation,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Treatment Change / Escalation,Treatment Change / Escalation,1,low,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: three_way_disagreement (rule=Treatment Change / Escalation; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q142,Vitamin A kontraindikasi pada Stunting / Malnutrition dengan COPD,Safety / Contraindication,Safety / Contraindication,Guideline / Evidence Lookup,Safety / Contraindication,Safety / Contraindication,two_signal_including_rule,Safety / Contraindication,Safety / Contraindication,1,medium,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: two_signal_including_rule (rule=Safety / Contraindication; prototype=Guideline / Evidence Lookup; cluster=Safety / Contraindication).",True,False,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q145,titration protocol Rivaroxaban in Community-acquired Pneumonia,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,Dosing / Administration,Dosing / Administration,1,low,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q147,Chronic Kidney Disease first line ARBs evidence based,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q151,latest guideline Preeclampsia management 2024,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q155,kombinasi Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever aman atau tidak,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination; Safety / Contraindication,2,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q156,indikasi Tenofovir+Lamivudine pada Urinary Tract Infection guideline terbaru,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q159,titration protocol Cyclosporine in Psoriasis,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,Dosing / Administration,Dosing / Administration,1,low,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q164,Systemic Lupus Erythematosus first line TNF inhibitors evidence based,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q167,penggantian Omeprazole ke Lansoprazole pada Peptic Ulcer Disease,Treatment Change / Escalation,Treatment Change / Escalation,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Treatment Change / Escalation,Treatment Change / Escalation,1,low,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: prototype_cluster_against_rule (rule=Treatment Change / Escalation; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q171,Hyperthyroidism prophylaxis Methimazole indication,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,two_signal_including_rule,Prophylaxis / Maintenance,Prophylaxis / Maintenance; Management / Treatment Selection,2,medium,prevention or maintenance framing overrides generic indication Three-signal status: two_signal_including_rule (rule=Prophylaxis / Maintenance; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q173,Stunting / Malnutrition first line Zinc supplements evidence based,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q180,tatalaksana Type 1 Diabetes Mellitus panduan terbaru 2023,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q184,Proton pump inhibitors mechanism of action in Peptic Ulcer Disease,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q188,interaksi obat Zinc dan Vitamin A pada Stunting / Malnutrition,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination,1,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q190,Macrolides mechanism of action in Asthma,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q194,Chronic Kidney Disease prophylaxis Losartan indication,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Prophylaxis / Maintenance,Comparative Treatment Choice,Prophylaxis / Maintenance,two_signal_including_rule,Prophylaxis / Maintenance,Prophylaxis / Maintenance; Management / Treatment Selection,2,medium,prevention or maintenance framing overrides generic indication Three-signal status: two_signal_including_rule (rule=Prophylaxis / Maintenance; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q195,add on therapy Asthma after Amoxicillin failure,Treatment Change / Escalation,Treatment Change / Escalation,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Treatment Change / Escalation,Treatment Change / Escalation,1,low,"failure, resistance, progression, switch, or add-on framing overrides initial selection Three-signal status: three_way_disagreement (rule=Treatment Change / Escalation; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q196,Gout risk stratification approach,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,unanimous,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,high,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: unanimous (rule=Monitoring / Response / Risk Assessment; prototype=Monitoring / Response / Risk Assessment; cluster=Monitoring / Response / Risk Assessment).",True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q197,monitoring terapi Bedaquiline pada MDR Tuberculosis,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,low,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q201,interaksi obat Semaglutide dan Liraglutide pada Obesity,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination,1,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q204,Iron preparations mechanism untuk Iron Deficiency Anaemia bagaimana cara kerjanya,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q206,Ischaemic Stroke pada anak dosis Aspirin,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,Dosing / Administration,unanimous,Dosing / Administration,Dosing / Administration,1,high,requested regimen or adjustment determines the primary information need Three-signal status: unanimous (rule=Dosing / Administration; prototype=Dosing / Administration; cluster=Dosing / Administration).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q217,algoritma terapi Heart Failure step up,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,Management / Treatment Selection,unanimous,Management / Treatment Selection,Management / Treatment Selection,1,high,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: unanimous (rule=Management / Treatment Selection; prototype=Management / Treatment Selection; cluster=Management / Treatment Selection).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q223,Rivaroxaban efficacy pada Community-acquired Pneumonia clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,Comparative Treatment Choice,Efficacy / Outcomes,two_signal_including_rule,Efficacy / Outcomes,Efficacy / Outcomes,1,medium,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q225,Psoriasis dengan elderly patients pilihan drug terbaik,Management / Treatment Selection,Management / Treatment Selection,Comparative Treatment Choice,Efficacy / Outcomes,,three_way_disagreement,Management / Treatment Selection,Management / Treatment Selection,1,low,initial treatment choice overrides demographic safety context unless safety is asked Three-signal status: three_way_disagreement (rule=Management / Treatment Selection; prototype=Comparative Treatment Choice; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q227,Spironolactone contraindication in Heart Failure with hypertension,Dosing / Administration,Safety / Contraindication,Comparative Treatment Choice,Dosing / Administration,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Dosing / Administration). Phase 2 suggestion 'Dosing / Administration' was not retained because the explicit request maps to 'Safety / Contraindication'.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q231,kombinasi Piperacillin-tazobactam dan Norepinephrine pada Sepsis aman atau tidak,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination; Safety / Contraindication,2,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q232,Prednisolone side effect pada pasien Rheumatoid Arthritis apa saja,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q234,PD-1 inhibitors mechanism untuk Non-Small Cell Lung Cancer bagaimana cara kerjanya,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q235,Artemether-lumefantrine vs Artemether-lumefantrine untuk Typhoid Fever,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,unanimous,Comparative Treatment Choice,Comparative Treatment Choice,1,high,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q236,biomarkers Chronic Myeloid Leukaemia treatment response Imatinib,Safety / Contraindication,Monitoring / Response / Risk Assessment,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,low,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Safety / Contraindication' was not retained because the explicit request maps to 'Monitoring / Response / Risk Assessment'.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q240,Antituberculotics terbaru untuk Tuberculosis 2024,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup,1,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q242,penanganan Type 2 Diabetes Mellitus di ICU panduan 2023,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Efficacy / Outcomes,Comparative Treatment Choice,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q243,Mycophenolate mofetil dosing in Rheumatoid Arthritis with diabetes,Dosing / Administration,Dosing / Administration,Comparative Treatment Choice,Safety / Contraindication,,three_way_disagreement,Dosing / Administration,Dosing / Administration,1,low,requested regimen or adjustment determines the primary information need Three-signal status: three_way_disagreement (rule=Dosing / Administration; prototype=Comparative Treatment Choice; cluster=Safety / Contraindication).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q244,Semaglutide vs Liraglutide untuk Obesity,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,unanimous,Comparative Treatment Choice,Comparative Treatment Choice,1,high,explicit comparison overrides single-treatment efficacy Three-signal status: unanimous (rule=Comparative Treatment Choice; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q248,Type 1 Diabetes Mellitus first line Basal insulins evidence based,Guideline / Evidence Lookup,Guideline / Evidence Lookup,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Guideline / Evidence Lookup,Guideline / Evidence Lookup; Management / Treatment Selection,2,low,"explicit evidence, guideline, recency, or year constraint overrides treatment choice Three-signal status: three_way_disagreement (rule=Guideline / Evidence Lookup; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge). Multiple cues were resolved with the frozen primary-information-need hierarchy.",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q249,Sitagliptin pada pasien elderly Type 2 Diabetes Mellitus apa perlu adjustment,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,Dosing / Administration,Dosing / Administration,1,low,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q250,efek samping Vitamin K antagonists pada Atrial Fibrillation,Monitoring / Response / Risk Assessment,Safety / Contraindication,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Phase 2 suggestion 'Monitoring / Response / Risk Assessment' was not retained because the explicit request maps to 'Safety / Contraindication'.",True,False,False,False,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q253,Imatinib side effect pada pasien Chronic Myeloid Leukaemia apa saja,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q255,kontraindikasi Salmeterol pada Asthma dengan immunocompromised,Safety / Contraindication,Safety / Contraindication,Prophylaxis / Maintenance,Comparative Treatment Choice,,three_way_disagreement,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: three_way_disagreement (rule=Safety / Contraindication; prototype=Prophylaxis / Maintenance; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q256,Antituberculotics role in MDR Tuberculosis pathophysiology,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q261,Penicillins role in HIV/AIDS pathophysiology,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q262,kombinasi Piperacillin-tazobactam dan Meropenem pada Sepsis aman atau tidak,Interaction / Combination,Interaction / Combination,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Interaction / Combination,Interaction / Combination; Safety / Contraindication,2,low,co-administration or interaction overrides general safety Three-signal status: prototype_cluster_against_rule (rule=Interaction / Combination; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice). Multiple cues were resolved with the frozen primary-information-need hierarchy.,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q263,titration protocol Levothyroxine in Hypothyroidism,Dosing / Administration,Dosing / Administration,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,prototype_cluster_against_rule,Dosing / Administration,Dosing / Administration,1,low,requested regimen or adjustment determines the primary information need Three-signal status: prototype_cluster_against_rule (rule=Dosing / Administration; prototype=Efficacy / Outcomes; cluster=Efficacy / Outcomes).,True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q266,monitoring terapi Artemether-lumefantrine pada Typhoid Fever,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,Management / Treatment Selection,Mechanism / Background Knowledge,,three_way_disagreement,Monitoring / Response / Risk Assessment,Monitoring / Response / Risk Assessment,1,low,"monitoring action, response biomarker, or risk score is the requested output Three-signal status: three_way_disagreement (rule=Monitoring / Response / Risk Assessment; prototype=Management / Treatment Selection; cluster=Mechanism / Background Knowledge).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q267,Adalimumab side effect pada pasien Gout apa saja,Safety / Contraindication,Safety / Contraindication,Comparative Treatment Choice,Comparative Treatment Choice,Comparative Treatment Choice,prototype_cluster_against_rule,Safety / Contraindication,Safety / Contraindication,1,low,"harm, suitability, contraindication, or pregnancy-safety wording overrides dose when safety is explicit Three-signal status: prototype_cluster_against_rule (rule=Safety / Contraindication; prototype=Comparative Treatment Choice; cluster=Comparative Treatment Choice).",True,False,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q268,Beta blockers non-selective mechanism of action in Hypertension in Pregnancy,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,Mechanism / Background Knowledge,unanimous,Mechanism / Background Knowledge,Mechanism / Background Knowledge,1,high,mechanism or pathophysiology is explanatory rather than management-oriented Three-signal status: unanimous (rule=Mechanism / Background Knowledge; prototype=Mechanism / Background Knowledge; cluster=Mechanism / Background Knowledge).,True,True,True,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
Q269,Sertraline efficacy pada Major Depressive Disorder clinical outcome data,Efficacy / Outcomes,Efficacy / Outcomes,Efficacy / Outcomes,Comparative Treatment Choice,Efficacy / Outcomes,two_signal_including_rule,Efficacy / Outcomes,Efficacy / Outcomes,1,medium,single-treatment efficacy or outcome evidence is the requested output Three-signal status: two_signal_including_rule (rule=Efficacy / Outcomes; prototype=Efficacy / Outcomes; cluster=Comparative Treatment Choice).,True,True,False,True,single model-assisted schema review; not time-separated and not inter-annotator agreement
