query_id,query_text,query_group,split
Q371,kapan start Losartan di Hypertension evidence terbaru terbaru,Q371,train
Q372,indikasi Semaglutide pada Type 2 Diabetes Mellitus guideline terbaru,Q372,train
Q373,add on therapy Stable Angina after Metoprolol failure,Q373,train
Q374,kontraindikasi Ramipril pada Hypertension dengan diabetes,Q374,train
Q375,Tuberculosis pada anak dosis Bedaquiline,Q375,test
Q376,Antimalarials role in Typhoid Fever pathophysiology,Q376,train
Q377,latest Preeclampsia management guidelines 2024,Q151,train
Q378,add on therapy Schizophrenia after Olanzapine failure,Q378,train
Q379,kontraindikasi Prednisolone pada COPD dengan renal impairment,Q379,validation
Q380,Type 2 Diabetes Mellitus dengan renal impairment penyesuaian dosis Liraglutide,Q380,train
Q381,renal dose adjustment Artemether-lumefantrine in Typhoid Fever,Q381,validation
Q382,when to start Methylphenidate in Breast Cancer HER2-positive,Q382,validation
Q383,SSRIs terbaru untuk ADHD 2023,Q383,train
Q384,Iron preparations in pregnancy and Iron Deficiency Anaemia,Q384,train
Q385,terapi profilaksis Tuberculosis dengan Isoniazid,Q385,train
Q386,Zinc side effect pada pasien Stunting / Malnutrition apa saja,Q386,train
Q387,monitoring parameters Escitalopram in ADHD,Q387,validation
Q388,Magnesium role in Preeclampsia pathophysiology,Q388,train
Q389,algoritma terapi Pulmonary Embolism step up,Q389,train
Q390,panduan klinis Ischaemic Stroke terbaru,Q390,train
Q391,when to start Secukinumab in Disseminated Intravascular Coagulation,Q391,train
Q392,switch from Artemether-lumefantrine to Artemether-lumefantrine in Typhoid Fever,Q392,train
Q393,monitoring SSRIs pada ADHD parameter apa,Q393,train
Q394,Topical calcineurin inhibitors adverse effects monitoring in Psoriasis,Q394,validation
Q395,Vitamin A hepatic impairment dose in Stunting / Malnutrition,Q395,train
Q396,Norepinephrine dosing in Sepsis with diabetes,Q396,validation
Q397,Malaria risk stratification approach,Q397,train
Q398,Corticosteroids terbaru untuk Sepsis 2024,Q398,train
Q399,Beta blockers selective mechanism untuk Atrial Fibrillation bagaimana cara kerjanya,Q399,train
Q400,COPD pada anak dosis Salmeterol,Q400,test
Q401,when to start Bisoprolol in Heart Failure,Q401,train
Q402,target Obesity sudah tercapai kapan maintenance Semaglutide,Q402,test
Q403,interaksi obat Artemether-lumefantrine dan Artemether-lumefantrine pada Typhoid Fever,Q403,validation
Q404,Omeprazole loading dose Peptic Ulcer Disease emergency,Q404,train
Q405,algoritma terapi Parkinson Disease step up,Q405,validation
Q406,Ischaemic Stroke with pregnancy first line drug,Q406,train
Q407,Breast Cancer HER2-positive pada anak dosis Methylphenidate,Q407,train
Q408,prophylaxis COPD Salmeterol kapan bisa dihentikan,Q408,train
Q409,Spironolactone dosing in Heart Failure with obesity,Q409,train
Q410,kapan mulai terapi Alteplase pada Ischaemic Stroke,Q410,test
Q411,Alendronate pada pasien elderly Osteoporosis apa perlu adjustment,Q411,train
Q412,Aspirin long term outcomes Ischaemic Stroke,Q412,train
Q413,SNRIs terbaru untuk Major Depressive Disorder 2024,Q413,train
Q414,Stable Angina emergency Atorvastatin loading dose berapa,Q414,test
Q415,latest Breast Cancer HER2-positive management guidelines 2023,Q415,train
Q416,Urinary Tract Infection risk stratification approach,Q416,train
Q417,Venlafaxine vs Venlafaxine untuk Major Depressive Disorder,Q417,train
Q418,monitoring Xanthine oxidase inhibitors pada Psoriatic Arthritis parameter apa,Q418,validation
Q419,add on therapy Systemic Lupus Erythematosus after Methotrexate failure,Q419,validation
Q420,Atrial Fibrillation pada anak dosis Metoprolol,Q420,train
Q421,Bisoprolol loading dose Heart Failure emergency,Q421,train
Q422,kapan start Rivaroxaban di Deep Vein Thrombosis evidence terbaru terbaru,Q422,train
Q423,prophylaxis Hypertension in Pregnancy Methyldopa kapan bisa dihentikan,Q423,validation
Q424,monitoring parameters Prednisolone in COPD,Q424,test
Q425,target Urinary Tract Infection sudah tercapai kapan maintenance Tenofovir+Lamivudine,Q425,validation
Q426,target Psoriasis sudah tercapai kapan maintenance Dupilumab,Q426,train
Q427,kontraindikasi Lansoprazole pada Pulmonary Embolism dengan renal impairment,Q427,train
Q428,penggantian Sertraline ke Venlafaxine pada Major Depressive Disorder,Q428,validation
Q429,dosis Dupilumab untuk pasien Disseminated Intravascular Coagulation,Q429,train
Q430,Major Depressive Disorder dengan renal impairment penyesuaian dosis Venlafaxine,Q430,train
Q431,Proton pump inhibitors kontraindikasi pada Peptic Ulcer Disease dengan anaemia,Q431,validation
Q432,Semaglutide combination therapy Obesity,Q432,test
Q433,monitoring parameters Losartan in Chronic Kidney Disease,Q433,validation
Q434,Rosuvastatin contraindication in Acute Coronary Syndrome with anaemia,Q434,train
Q435,Artemether-lumefantrine hepatic impairment dose in Typhoid Fever,Q435,test
Q436,Dupilumab vs Cyclosporine untuk pasien Psoriasis mana lebih efektif,Q436,test
Q437,Parkinson Disease with elderly patients first line drug,Q437,train
Q438,Schizophrenia emergency Risperidone loading dose berapa,Q438,train
Q439,Secukinumab loading dose Disseminated Intravascular Coagulation emergency,Q439,train
Q440,Atrial Fibrillation risk stratification approach,Q440,train
Q441,Atorvastatin hepatic impairment dose in Stable Angina,Q441,test
Q442,add on Prednisolone setelah Tiotropium gagal COPD,Q442,test
Q443,prophylaxis Schizophrenia Risperidone kapan bisa dihentikan,Q443,validation
Q444,Rivaroxaban hepatic impairment dose in Community-acquired Pneumonia,Q444,validation
Q445,indikasi Losartan pada Heart Failure guideline terbaru,Q445,train
Q446,Type 1 Diabetes Mellitus dengan pregnancy pilihan terapi,Q446,train
Q447,Lansoprazole vs Metronidazole untuk Pulmonary Embolism,Q447,train
Q448,Pembrolizumab vs Pembrolizumab untuk pasien Non-Small Cell Lung Cancer mana lebih efektif,Q448,train
Q449,Beta-lactam combinations mechanism of action in Sepsis,Q449,train
Q450,kontraindikasi Liraglutide pada Type 2 Diabetes Mellitus dengan CKD,Q450,train
Q451,Colorectal Cancer prophylaxis Pembrolizumab indication,Q451,test
Q452,Prednisolone combination therapy Rheumatoid Arthritis,Q452,train
Q453,Topiramate pada pasien elderly Migraine apa perlu adjustment,Q453,test
Q454,switch dari Meropenem ke Vancomycin Sepsis progresif,Q454,train
Q455,obat Typhoid Fever lini pertama Antimalarials,Q455,test
Q456,kapan start Zinc di Stunting / Malnutrition evidence terbaru 2023,Q456,train
Q457,is Nivolumab safe in Non-Small Cell Lung Cancer with atrial fibrillation,Q457,train
Q458,NRTIs mechanism of action in Malaria,Q458,test
Q459,prophylaxis Gout Adalimumab kapan bisa dihentikan,Q459,train
Q460,Sepsis guideline update terbaru summary,Q460,validation
Q461,is Semaglutide safe in Type 2 Diabetes Mellitus with COPD,Q461,train
Q462,Aspirin combination therapy Ischaemic Stroke,Q462,test
Q463,Tuberculosis with renal impairment first line drug,Q463,train
Q464,kontraindikasi Semaglutide pada Obesity dengan diabetes,Q464,validation
Q465,Hypertension prophylaxis Ramipril indication,Q465,test
Q466,panduan klinis Major Depressive Disorder terbaru,Q466,train
Q467,Artemether-lumefantrine side effect pada pasien Typhoid Fever apa saja,Q467,train
Q468,Systemic Lupus Erythematosus prophylaxis Methotrexate indication,Q468,train
Q469,indikasi Bedaquiline pada MDR Tuberculosis guideline terbaru,Q469,test
Q470,HIV/AIDS pada anak dosis Amoxicillin,Q470,train
Q471,monitoring terapi Venlafaxine pada Major Depressive Disorder,Q471,train
Q472,ARBs mechanism untuk Hypertension bagaimana cara kerjanya,Q472,train
Q473,Tenofovir+Lamivudine efficacy pada Urinary Tract Infection clinical outcome data,Q473,train
Q474,Antituberculotics mechanism untuk Tuberculosis bagaimana cara kerjanya,Q474,train
Q475,Vitamin K antagonists kontraindikasi pada Deep Vein Thrombosis dengan heart failure,Q475,train
Q476,Bortezomib vs Prednisolone untuk Rheumatoid Arthritis,Q476,test
Q477,Losartan long term outcomes Heart Failure,Q477,train
Q478,kontraindikasi Bedaquiline pada Tuberculosis dengan immunocompromised,Q478,train
Q479,BCR-ABL inhibitors in pregnancy and Chronic Myeloid Leukaemia,Q479,train
Q480,Venlafaxine dosing in Major Depressive Disorder with atrial fibrillation,Q480,train
Q481,Metoprolol long term outcomes Stable Angina,Q481,train
Q482,Lansoprazole long term outcomes Peptic Ulcer Disease,Q482,test
Q483,Hypertension dengan pregnancy pilihan drug terbaik,Q483,validation
Q484,titration protocol Bedaquiline in Tuberculosis,Q484,test
Q485,Lansoprazole resistance in Peptic Ulcer Disease alternative therapy,Q485,train
Q486,switch from Alteplase to Alteplase in Ischaemic Stroke,Q486,train
Q487,Centrally acting antihypertensives terbaru untuk Hypertension in Pregnancy 2025,Q487,train
Q488,Artemether-lumefantrine pada ibu hamil dengan Typhoid Fever,Q488,train
Q489,switch from Bedaquiline to Bedaquiline in MDR Tuberculosis,Q489,train
Q490,target terapi Hypothyroidism dengan Thyroid hormones,Q490,train
Q491,Empagliflozin long term outcomes Chronic Kidney Disease,Q491,validation
Q492,titration protocol Alendronate in Osteoporosis,Q492,validation
Q493,monitoring parameters Isoniazid in Tuberculosis,Q493,validation
Q494,Corticosteroids terbaru untuk COPD terbaru,Q494,train
Q495,TNF inhibitors adverse effects monitoring in Systemic Lupus Erythematosus,Q495,train
Q496,Insulin degludec side effect pada pasien Type 1 Diabetes Mellitus apa saja,Q496,train
Q497,is Rosuvastatin safe in Acute Coronary Syndrome with diabetes,Q497,train
Q498,monitoring Factor Xa inhibitors pada Deep Vein Thrombosis parameter apa,Q498,validation
Q499,ACE inhibitors kontraindikasi pada Hypertension dengan hepatic impairment,Q499,validation
Q500,Antituberculotics terbaru untuk Tuberculosis 2025,Q500,train
