content_id,title,content_type,source_type,language,publication_year,word_count,disease_entity,icd10_code,molecule_entity,atc_code,drug_class_entity,atc_class,therapeutic_area
C128,COPD in Special Populations: Practical Guidance,clinical_summary,clinical_practice,EN,2025,730,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology
C129,Dosis Corticosteroids pada Asthma: Referensi Cepat,clinical_summary,hospital_protocol,ID,2022,303,Asthma,J45,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology
C130,Profil Keamanan Bedaquiline pada MDR Tuberculosis,article,journal,ID,2024,1668,MDR Tuberculosis,A15.0,Bedaquiline,J04AK05,Antituberculotics,J04AK,Pulmonology
C131,Treatment Intensification in Asthma: When and How,article,research_paper,MIXED,2024,1509,Asthma,J45,Levofloxacin; Amoxicillin,J01MA12; J01CA04,Fluoroquinolones; Penicillins,J01MA; J01CA,Pulmonology
C132,Practical Guide: Initiating Prednisolone in COPD,clinical_summary,hospital_protocol,MIXED,2021,411,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology
C133,Panduan Praktis: Memulai Prednisolone pada COPD,clinical_summary,hospital_protocol,ID,2024,359,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology
C134,Scoping Review: Emerging Therapies in Pulmonary Embolism 2025,review,systematic_review,EN,2025,2344,Pulmonary Embolism,I26,Omeprazole; Metronidazole,A02BC01; J01XD01,Proton pump inhibitors; Nitroimidazoles,A02BC; J01XD,Pulmonology
C135,Prednisolone pada Pasien COPD: Studi Kohort,article,journal,ID,2020,2402,COPD,J44,Prednisolone,H02AB06,Corticosteroids,H02AB,Pulmonology
C136,MDR Tuberculosis pada Populasi Khusus: Pendekatan Praktis,clinical_summary,clinical_practice,ID,2021,461,MDR Tuberculosis,A15.0,Bedaquiline; Bedaquiline,J04AK05; J04AK05,Antituberculotics; Antituberculotics,J04AK; J04AK,Pulmonology
C137,Asthma in immunocompromised: Special Considerations,article,journal,MIXED,2024,1681,Asthma,J45,Salbutamol,R03AC02,Short-acting beta2-agonists,R03AC,Pulmonology
C138,Treatment Intensification in Asthma: When and How,article,journal,EN,2024,1995,Asthma,J45,Salmeterol; Amoxicillin,R03AC12; J01CA04,Long-acting beta2-agonists; Penicillins,R03AC; J01CA,Pulmonology
C139,Narrative Review: Current Evidence for Proton pump inhibitors in Peptic Ulcer Disease,review,meta_analysis,MIXED,2020,2409,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology
C140,"Proton pump inhibitors: Mechanism, Indications, and Safety",drug_profile,pharmacology_reference,EN,2024,983,Peptic Ulcer Disease,K27,Omeprazole,A02BC01,Proton pump inhibitors,A02BC,Gastroenterology
C141,Efficacy of Proton pump inhibitors in Peptic Ulcer Disease: A Cohort Study,article,research_paper,EN,2024,2436,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology
C142,Asia-Pacific Guideline: Inflammatory Bowel Disease in Primary Care 2023,guideline,who,MIXED,2023,1503,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C143,Consensus Statement: Proton pump inhibitors Use in Peptic Ulcer Disease,guideline,ministry_of_health,EN,2025,1994,Peptic Ulcer Disease,K27,Lansoprazole; Omeprazole,A02BC03; A02BC01,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Gastroenterology
C144,Clinical Practice Guideline: Inflammatory Bowel Disease Management 2025,guideline,who,EN,2025,1601,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C145,Metronidazole Drug Profile: Efficacy in Inflammatory Bowel Disease,drug_profile,drug_database,EN,2021,570,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C146,Quick Reference: Nitroimidazoles Dosing in Inflammatory Bowel Disease,clinical_summary,clinical_practice,MIXED,2024,318,Inflammatory Bowel Disease,K50,Metronidazole; Metronidazole,J01XD01; J01XD01,Nitroimidazoles; Nitroimidazoles,J01XD; J01XD,Gastroenterology
C147,National Guideline: Peptic Ulcer Disease Diagnosis and Treatment,guideline,ministry_of_health,EN,2020,2219,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology
C148,Clinical Summary: Inflammatory Bowel Disease Management Update 2022,clinical_summary,clinical_practice,MIXED,2022,551,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C149,Switching Therapy in Peptic Ulcer Disease: A Step-by-Step Guide,clinical_summary,hospital_protocol,EN,2021,325,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology
C150,Practical Guide: Initiating Omeprazole in Peptic Ulcer Disease,clinical_summary,hospital_protocol,MIXED,2022,439,Peptic Ulcer Disease,K27,Omeprazole,A02BC01,Proton pump inhibitors,A02BC,Gastroenterology
C151,Monitoring Parameters for Nitroimidazoles in Inflammatory Bowel Disease,clinical_summary,hospital_protocol,EN,2022,754,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C152,Metronidazole pada Pasien Inflammatory Bowel Disease: Studi Kohort,article,journal,ID,2024,1207,Inflammatory Bowel Disease,K50,Metronidazole; Metronidazole,J01XD01; J01XD01,Nitroimidazoles; Nitroimidazoles,J01XD; J01XD,Gastroenterology
C153,Konsensus Nasional: Inflammatory Bowel Disease di Indonesia 2021,guideline,professional_society,ID,2021,1289,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C154,Peptic Ulcer Disease pada Populasi Khusus: Pendekatan Praktis,clinical_summary,hospital_protocol,ID,2025,544,Peptic Ulcer Disease,K27,Omeprazole,A02BC01,Proton pump inhibitors,A02BC,Gastroenterology
C155,New Insights into Inflammatory Bowel Disease Pathophysiology and Treatment,article,research_paper,MIXED,2021,2475,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C156,Switching Therapy in Peptic Ulcer Disease: A Step-by-Step Guide,clinical_summary,hospital_protocol,MIXED,2024,421,Peptic Ulcer Disease,K27,Lansoprazole; Lansoprazole,A02BC03; A02BC03,Proton pump inhibitors; Proton pump inhibitors,A02BC; A02BC,Gastroenterology
C157,Profil Keamanan Lansoprazole pada Peptic Ulcer Disease,article,journal,ID,2024,1942,Peptic Ulcer Disease,K27,Lansoprazole,A02BC03,Proton pump inhibitors,A02BC,Gastroenterology
C158,Practical Guide: Initiating Metronidazole in Inflammatory Bowel Disease,clinical_summary,hospital_protocol,EN,2020,680,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C159,Long-term Outcomes of Nitroimidazoles Therapy in Inflammatory Bowel Disease,article,research_paper,EN,2020,1203,Inflammatory Bowel Disease,K50,Metronidazole,J01XD01,Nitroimidazoles,J01XD,Gastroenterology
C160,Konsensus Nasional: Inflammatory Bowel Disease di Indonesia 2022,guideline,who,ID,2022,2456,Inflammatory Bowel Disease,K50,Metronidazole; Metronidazole,J01XD01; J01XD01,Nitroimidazoles; Nitroimidazoles,J01XD; J01XD,Gastroenterology
C161,Asia-Pacific Guideline: Peptic Ulcer Disease in Primary Care 2025,guideline,professional_society,EN,2025,1735,Peptic Ulcer Disease,K27,Omeprazole,A02BC01,Proton pump inhibitors,A02BC,Gastroenterology
C162,Biomarkers in Schizophrenia: Implications for Atypical antipsychotics Therapy,article,research_paper,MIXED,2024,1874,Schizophrenia,F20,Risperidone,N05AX08,Atypical antipsychotics,N05AX,Psychiatry
C163,"Risperidone: Pharmacology, Dosing, and Clinical Use in Schizophrenia",drug_profile,pharmacology_reference,EN,2025,780,Schizophrenia,F20,Risperidone,N05AX08,Atypical antipsychotics,N05AX,Psychiatry
C164,Clinical Summary: Major Depressive Disorder Management Update 2021,clinical_summary,clinical_practice,EN,2021,567,Major Depressive Disorder,F32,Venlafaxine,N06AX16,SNRIs,N06AX,Psychiatry
C165,Lithium: Farmakologi dan Penggunaan Klinis pada Bipolar Disorder,drug_profile,pharmacology_reference,ID,2024,454,Bipolar Disorder,F31,Lithium,N05AN01,Mood stabilisers,N05AN,Psychiatry
C166,Dosis SSRIs pada ADHD: Referensi Cepat,clinical_summary,hospital_protocol,ID,2024,717,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
C167,Sertraline in ADHD: Real-World Outcomes,article,journal,EN,2023,1345,ADHD,F90,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
C168,Challenging Case: ADHD with Concurrent atrial fibrillation,case_report,case_report,EN,2020,686,ADHD,F90,Sertraline; Escitalopram,N06AB06; N06AB10,SSRIs; SSRIs,N06AB; N06AB,Psychiatry
C169,Dose Adjustment of Olanzapine in Renal and Hepatic Impairment,clinical_summary,hospital_protocol,EN,2020,320,Schizophrenia,F20,Olanzapine,N05AH03,Atypical antipsychotics,N05AH,Psychiatry
C170,Major Depressive Disorder in hypertension: Special Considerations,article,research_paper,EN,2023,1804,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
C171,Perbandingan Venlafaxine dan Venlafaxine pada Major Depressive Disorder,article,research_paper,ID,2022,1951,Major Depressive Disorder,F32,Venlafaxine,N06AX16,SNRIs,N06AX,Psychiatry
C172,Major Depressive Disorder in Pregnancy: Safety and Management Guide,clinical_summary,hospital_protocol,EN,2025,308,Major Depressive Disorder,F32,Sertraline; Sertraline,N06AB06; N06AB06,SSRIs; SSRIs,N06AB; N06AB,Psychiatry
C173,Escitalopram versus Sertraline in Major Depressive Disorder: Head-to-Head Comparison,article,research_paper,EN,2020,1670,Major Depressive Disorder,F32,Escitalopram; Sertraline,N06AB10; N06AB06,SSRIs; SSRIs,N06AB; N06AB,Psychiatry
C174,Long-term Outcomes of SNRIs Therapy in Major Depressive Disorder,article,journal,EN,2020,1185,Major Depressive Disorder,F32,Venlafaxine,N06AX16,SNRIs,N06AX,Psychiatry
C175,Clinical Summary: Bipolar Disorder Management Update 2020,clinical_summary,clinical_practice,MIXED,2020,622,Bipolar Disorder,F31,Lithium,N05AN01,Mood stabilisers,N05AN,Psychiatry
C176,"Lithium: Pharmacology, Dosing, and Clinical Use in Bipolar Disorder",drug_profile,pharmacology_reference,EN,2021,504,Bipolar Disorder,F31,Lithium,N05AN01,Mood stabilisers,N05AN,Psychiatry
C177,Successful Management of Severe Schizophrenia with Clozapine,case_report,case_report,EN,2021,1190,Schizophrenia,F20,Clozapine,N05AH02,Atypical antipsychotics,N05AH,Psychiatry
C178,A Case of Schizophrenia Resistant to Clozapine,case_report,case_report,EN,2023,886,Schizophrenia,F20,Clozapine,N05AH02,Atypical antipsychotics,N05AH,Psychiatry
C179,Case Report: Atypical Presentation of Schizophrenia,case_report,case_report,EN,2023,1436,Schizophrenia,F20,Clozapine,N05AH02,Atypical antipsychotics,N05AH,Psychiatry
C180,Risk Stratification in Major Depressive Disorder: Current Approaches,article,journal,EN,2020,1033,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
C181,Case Report: Atypical Presentation of Major Depressive Disorder,case_report,case_report,EN,2023,841,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
C182,"Sertraline: Pharmacology, Dosing, and Clinical Use in Major Depressive Disorder",drug_profile,drug_database,MIXED,2022,468,Major Depressive Disorder,F32,Sertraline; Escitalopram,N06AB06; N06AB10,SSRIs; SSRIs,N06AB; N06AB,Psychiatry
C183,Scoping Review: Emerging Therapies in Bipolar Disorder 2022,review,meta_analysis,MIXED,2022,3811,Bipolar Disorder,F31,Olanzapine; Olanzapine,N05AH03; N05AH03,Atypical antipsychotics; Atypical antipsychotics,N05AH; N05AH,Psychiatry
C184,Sertraline Real-World Evidence in Major Depressive Disorder: A Retrospective Study,article,research_paper,EN,2021,2291,Major Depressive Disorder,F32,Sertraline,N06AB06,SSRIs,N06AB,Psychiatry
C185,Dosis BCR-ABL inhibitors pada Chronic Myeloid Leukaemia: Referensi Cepat,clinical_summary,hospital_protocol,ID,2024,428,Chronic Myeloid Leukaemia,C92.1,Imatinib; Imatinib,L01EA01; L01EA01,BCR-ABL inhibitors; BCR-ABL inhibitors,L01EA; L01EA,Oncology
C186,Konsensus Nasional: Chronic Lymphocytic Leukaemia di Indonesia 2022,guideline,who,ID,2022,2319,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib,L01EL01,BTK inhibitors,L01EL,Oncology
C187,Clinical Practice Guideline: Breast Cancer HER2-positive Management 2022,guideline,who,EN,2022,2634,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology
C188,Risk Stratification in Chronic Lymphocytic Leukaemia: Current Approaches,article,research_paper,EN,2024,1743,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib,L01EL01,BTK inhibitors,L01EL,Oncology
C189,Clinical Practice Guideline: Colorectal Cancer Management 2020,guideline,professional_society,EN,2020,2059,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
C190,Case Series: HER2-targeted agents in Refractory Non-Small Cell Lung Cancer,case_report,case_report,EN,2024,741,Non-Small Cell Lung Cancer,C34,Trastuzumab; Nivolumab,L01FD01; L01FF01,HER2-targeted agents; PD-1 inhibitors,L01FD; L01FF,Oncology
C191,Efficacy of BTK inhibitors in Chronic Lymphocytic Leukaemia: A Cohort Study,article,research_paper,EN,2025,958,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib,L01EL01,BTK inhibitors,L01EL,Oncology
C192,National Guideline: Chronic Myeloid Leukaemia Diagnosis and Treatment,guideline,ministry_of_health,EN,2022,2794,Chronic Myeloid Leukaemia,C92.1,Imatinib,L01EA01,BCR-ABL inhibitors,L01EA,Oncology
C193,Meta-analysis: Ibrutinib versus Standard of Care in Chronic Lymphocytic Leukaemia,review,systematic_review,EN,2021,3751,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib,L01EL01,BTK inhibitors,L01EL,Oncology
C194,Quick Reference: BTK inhibitors Dosing in Chronic Lymphocytic Leukaemia,clinical_summary,hospital_protocol,EN,2021,616,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib; Ibrutinib,L01EL01; L01EL01,BTK inhibitors; BTK inhibitors,L01EL; L01EL,Oncology
C195,Biomarkers in Chronic Lymphocytic Leukaemia: Implications for BTK inhibitors Therapy,article,research_paper,EN,2020,1376,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib,L01EL01,BTK inhibitors,L01EL,Oncology
C196,Scoping Review: Emerging Therapies in Colorectal Cancer 2024,review,meta_analysis,EN,2024,2373,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
C197,Konsensus Nasional: Chronic Myeloid Leukaemia di Indonesia 2023,guideline,who,ID,2023,2451,Chronic Myeloid Leukaemia,C92.1,Imatinib,L01EA01,BCR-ABL inhibitors,L01EA,Oncology
C198,Dosis BCR-ABL inhibitors pada Chronic Myeloid Leukaemia: Referensi Cepat,clinical_summary,clinical_practice,ID,2022,748,Chronic Myeloid Leukaemia,C92.1,Imatinib; Imatinib,L01EA01; L01EA01,BCR-ABL inhibitors; BCR-ABL inhibitors,L01EA; L01EA,Oncology
C199,Pedoman PNPK: Breast Cancer HER2-positive,guideline,who,ID,2020,2774,Breast Cancer HER2-positive,C50,Methylphenidate; Methylphenidate,N06BA04; N06BA04,CNS stimulants; CNS stimulants,N06BA; N06BA,Oncology
C200,Chronic Lymphocytic Leukaemia and obesity: Management Challenges,article,journal,EN,2021,2125,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib; Ibrutinib,L01EL01; L01EL01,BTK inhibitors; BTK inhibitors,L01EL; L01EL,Oncology
C201,Kasus Sulit: Colorectal Cancer Refrakter terhadap Pembrolizumab,case_report,case_report,ID,2021,1142,Colorectal Cancer,C18,Pembrolizumab,L01FF02,PD-1 inhibitors,L01FF,Oncology
C202,Drug Interactions: Nivolumab in Non-Small Cell Lung Cancer Patients,clinical_summary,clinical_practice,EN,2020,342,Non-Small Cell Lung Cancer,C34,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
C203,Monitoring Parameters for CNS stimulants in Breast Cancer HER2-positive,clinical_summary,clinical_practice,MIXED,2023,380,Breast Cancer HER2-positive,C50,Methylphenidate,N06BA04,CNS stimulants,N06BA,Oncology
C204,Profil Keamanan Ibrutinib pada Chronic Lymphocytic Leukaemia,article,journal,ID,2020,2327,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib; Ibrutinib,L01EL01; L01EL01,BTK inhibitors; BTK inhibitors,L01EL; L01EL,Oncology
C205,Meta-analysis: Ibrutinib versus Standard of Care in Chronic Lymphocytic Leukaemia,review,systematic_review,MIXED,2023,3016,Chronic Lymphocytic Leukaemia,C91.1,Ibrutinib; Ibrutinib,L01EL01; L01EL01,BTK inhibitors; BTK inhibitors,L01EL; L01EL,Oncology
C206,Chronic Myeloid Leukaemia pada Populasi Khusus: Pendekatan Praktis,clinical_summary,clinical_practice,ID,2020,304,Chronic Myeloid Leukaemia,C92.1,Imatinib; Imatinib,L01EA01; L01EA01,BCR-ABL inhibitors; BCR-ABL inhibitors,L01EA; L01EA,Oncology
C207,Biomarkers in Colorectal Cancer: Implications for PD-1 inhibitors Therapy,article,research_paper,EN,2025,972,Colorectal Cancer,C18,Nivolumab,L01FF01,PD-1 inhibitors,L01FF,Oncology
C208,Laporan Kasus: Systemic Lupus Erythematosus dengan Presentasi Atipikal,case_report,case_report,ID,2024,1163,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology
C209,Long-term Outcomes of Proteasome inhibitors Therapy in Rheumatoid Arthritis,article,research_paper,EN,2020,808,Rheumatoid Arthritis,M05,Bortezomib,L01XG01,Proteasome inhibitors,L01XG,Rheumatology
C210,Treatment Intensification in Systemic Lupus Erythematosus: When and How,article,research_paper,EN,2022,1073,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology
C211,Case Report: Atypical Presentation of Systemic Lupus Erythematosus,case_report,case_report,EN,2021,1048,Systemic Lupus Erythematosus,M32,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology
C212,Profil Keamanan Alendronate pada Osteoporosis,article,journal,ID,2022,1976,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology
C213,Hasil Jangka Panjang Terapi IL-17 inhibitors pada Gout,article,research_paper,ID,2024,1908,Gout,M10,Secukinumab,L04AC10,IL-17 inhibitors,L04AC,Rheumatology
C214,Adalimumab versus Adalimumab in Gout: Head-to-Head Comparison,article,journal,EN,2024,1181,Gout,M10,Adalimumab,L04AB04,TNF inhibitors,L04AB,Rheumatology
C215,Narrative Review: Current Evidence for NSAIDs in Systemic Lupus Erythematosus,review,meta_analysis,EN,2025,3280,Systemic Lupus Erythematosus,M32,Ibuprofen; Ibuprofen,M01AE01; M01AE01,NSAIDs; NSAIDs,M01AE; M01AE,Rheumatology
C216,Switching Therapy in Osteoporosis: A Step-by-Step Guide,clinical_summary,clinical_practice,EN,2025,418,Osteoporosis,M81,Alendronate; Alendronate,M05BA04; M05BA04,Bisphosphonates; Bisphosphonates,M05BA; M05BA,Rheumatology
C217,"Adalimumab: Pharmacology, Dosing, and Clinical Use in Gout",drug_profile,drug_database,EN,2024,595,Gout,M10,Adalimumab; Adalimumab,L04AB04; L04AB04,TNF inhibitors; TNF inhibitors,L04AB; L04AB,Rheumatology
C218,Profil Keamanan Colchicine pada Psoriatic Arthritis,article,research_paper,ID,2021,2069,Psoriatic Arthritis,M07,Colchicine,M04AC01,Gout preparations,M04AC,Rheumatology
C219,Konsensus Nasional: Osteoporosis di Indonesia 2022,guideline,who,ID,2022,2299,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology
C220,Hasil Jangka Panjang Terapi Proteasome inhibitors pada Rheumatoid Arthritis,article,research_paper,ID,2025,2243,Rheumatoid Arthritis,M05,Bortezomib; Prednisolone,L01XG01; H02AB06,Proteasome inhibitors; Corticosteroids,L01XG; H02AB,Rheumatology
C221,Meta-analisis: Alendronate pada Osteoporosis,review,meta_analysis,ID,2023,3144,Osteoporosis,M81,Alendronate; Alendronate,M05BA04; M05BA04,Bisphosphonates; Bisphosphonates,M05BA; M05BA,Rheumatology
C222,Challenging Case: Psoriatic Arthritis with Concurrent renal impairment,case_report,case_report,EN,2024,1068,Psoriatic Arthritis,M07,Allopurinol,M04AA01,Xanthine oxidase inhibitors,M04AA,Rheumatology
C223,Kasus Sulit: Osteoporosis Refrakter terhadap Alendronate,case_report,case_report,ID,2021,593,Osteoporosis,M81,Alendronate,M05BA04,Bisphosphonates,M05BA,Rheumatology
C224,Risk Stratification in Rheumatoid Arthritis: Current Approaches,article,research_paper,EN,2025,1425,Rheumatoid Arthritis,M05,Hydroxychloroquine,P01BA02,Antimalarials,P01BA,Rheumatology
C225,Treatment Intensification in Gout: When and How,article,research_paper,MIXED,2021,1250,Gout,M10,Secukinumab,L04AC10,IL-17 inhibitors,L04AC,Rheumatology
C226,Safety Profile of Ibuprofen in Psoriatic Arthritis,article,research_paper,EN,2025,1214,Psoriatic Arthritis,M07,Ibuprofen,M01AE01,NSAIDs,M01AE,Rheumatology
C227,Consensus Statement: NSAIDs Use in Psoriatic Arthritis,guideline,who,EN,2021,2946,Psoriatic Arthritis,M07,Ibuprofen,M01AE01,NSAIDs,M01AE,Rheumatology
C228,Methotrexate Drug Profile: Efficacy in Systemic Lupus Erythematosus,drug_profile,drug_database,EN,2020,635,Systemic Lupus Erythematosus,M32,Methotrexate; Methotrexate,L04AX03; L04AX03,Antimetabolites; Antimetabolites,L04AX; L04AX,Rheumatology
C229,Monitoring Parameters for Bisphosphonates in Osteoporosis,clinical_summary,hospital_protocol,EN,2024,746,Osteoporosis,M81,Alendronate; Alendronate,M05BA04; M05BA04,Bisphosphonates; Bisphosphonates,M05BA; M05BA,Rheumatology
C230,Case Series: IL-17 inhibitors in Refractory Gout,case_report,case_report,EN,2023,1131,Gout,M10,Secukinumab,L04AC10,IL-17 inhibitors,L04AC,Rheumatology
C231,Dose Adjustment of Apixaban in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2021,697,Deep Vein Thrombosis,I82,Apixaban,B01AF02,Factor Xa inhibitors,B01AF,Haematology
C232,Consensus Statement: Iron preparations Use in Iron Deficiency Anaemia,guideline,who,EN,2022,2005,Iron Deficiency Anaemia,D50,Ferrous sulphate; Ferrous sulphate,B03AA07; B03AA07,Iron preparations; Iron preparations,B03AA; B03AA,Haematology
C233,WHO Guideline Update: Iron Deficiency Anaemia 2023,guideline,professional_society,EN,2023,2153,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology
C234,New Insights into Deep Vein Thrombosis Pathophysiology and Treatment,article,research_paper,EN,2024,1637,Deep Vein Thrombosis,I82,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Haematology
C235,"Vitamin K antagonists: Mechanism, Indications, and Safety",drug_profile,pharmacology_reference,EN,2021,517,Deep Vein Thrombosis,I82,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Haematology
C236,Dose Adjustment of Rivaroxaban in Renal and Hepatic Impairment,clinical_summary,clinical_practice,EN,2025,661,Deep Vein Thrombosis,I82,Rivaroxaban; Rivaroxaban,B01AF01; B01AF01,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology
C237,Ferrous sulphate: Farmakologi dan Penggunaan Klinis pada Iron Deficiency Anaemia,drug_profile,drug_database,ID,2021,568,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology
C238,Rare Adverse Event of Warfarin in Deep Vein Thrombosis,case_report,case_report,EN,2022,524,Deep Vein Thrombosis,I82,Warfarin; Rivaroxaban,B01AA03; B01AF01,Vitamin K antagonists; Factor Xa inhibitors,B01AA; B01AF,Haematology
C239,Asia-Pacific Guideline: Deep Vein Thrombosis in Primary Care 2024,guideline,who,EN,2024,2290,Deep Vein Thrombosis,I82,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Haematology
C240,Quick Reference: Iron preparations Dosing in Iron Deficiency Anaemia,clinical_summary,hospital_protocol,EN,2025,388,Iron Deficiency Anaemia,D50,Ferrous sulphate; Erythropoietin,B03AA07; B03XA01,Iron preparations; Erythropoiesis stimulating agents,B03AA; B03XA,Haematology
C241,Consensus Statement: Vitamin K antagonists Use in Deep Vein Thrombosis,guideline,professional_society,EN,2024,2880,Deep Vein Thrombosis,I82,Warfarin; Rivaroxaban,B01AA03; B01AF01,Vitamin K antagonists; Factor Xa inhibitors,B01AA; B01AF,Haematology
C242,Challenging Case: Deep Vein Thrombosis with Concurrent elderly patients,case_report,case_report,MIXED,2020,1453,Deep Vein Thrombosis,I82,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Haematology
C243,Kasus Sulit: Deep Vein Thrombosis Refrakter terhadap Warfarin,case_report,case_report,ID,2021,1414,Deep Vein Thrombosis,I82,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Haematology
C244,"Iron preparations: Mechanism, Indications, and Safety",drug_profile,drug_database,MIXED,2022,622,Iron Deficiency Anaemia,D50,Ferrous sulphate,B03AA07,Iron preparations,B03AA,Haematology
C245,Monitoring Parameters for Factor Xa inhibitors in Deep Vein Thrombosis,clinical_summary,clinical_practice,EN,2022,307,Deep Vein Thrombosis,I82,Apixaban; Apixaban,B01AF02; B01AF02,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology
C246,Scoping Review: Emerging Therapies in Deep Vein Thrombosis 2024,review,meta_analysis,EN,2024,3820,Deep Vein Thrombosis,I82,Warfarin,B01AA03,Vitamin K antagonists,B01AA,Haematology
C247,Iron Deficiency Anaemia pada Populasi Khusus: Pendekatan Praktis,clinical_summary,hospital_protocol,ID,2024,514,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology
C248,Rivaroxaban Real-World Evidence in Deep Vein Thrombosis: A Retrospective Study,article,journal,EN,2020,2443,Deep Vein Thrombosis,I82,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Haematology
C249,Ringkasan Klinis: Tatalaksana Deep Vein Thrombosis Terkini 2022,clinical_summary,clinical_practice,ID,2022,781,Deep Vein Thrombosis,I82,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Haematology
C250,Rivaroxaban pada Pasien Deep Vein Thrombosis: Studi Kohort,article,research_paper,ID,2022,2250,Deep Vein Thrombosis,I82,Rivaroxaban; Apixaban,B01AF01; B01AF02,Factor Xa inhibitors; Factor Xa inhibitors,B01AF; B01AF,Haematology
C251,A Case of Deep Vein Thrombosis Resistant to Rivaroxaban,case_report,case_report,EN,2024,794,Deep Vein Thrombosis,I82,Rivaroxaban,B01AF01,Factor Xa inhibitors,B01AF,Haematology
C252,Rare Adverse Event of Erythropoietin in Iron Deficiency Anaemia,case_report,case_report,EN,2020,885,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology
C253,Hasil Jangka Panjang Terapi Erythropoiesis stimulating agents pada Iron Deficiency Anaemia,article,research_paper,ID,2025,2246,Iron Deficiency Anaemia,D50,Erythropoietin,B03XA01,Erythropoiesis stimulating agents,B03XA,Haematology
